epoch,raw_data_sleepMat,PulseOximeter_results
1473817327008,5502,115
1473817327028,5481,115
1473817327048,5448,115
1473817327068,5350,115
1473817327088,5312,115
1473817327108,5424,115
1473817327128,5561,115
1473817327148,5702,115
1473817327168,5917,115
1473817327188,6150,115
1473817327208,6240,115
1473817327228,6088,115
1473817327248,5984,115
1473817327268,5889,115
1473817327288,5617,115
1473817327308,5186,115
1473817327328,4798,115
1473817327348,4485,115
1473817327368,4277,115
1473817327388,4293,115
1473817327408,4425,115
1473817327428,4667,115
1473817327448,4874,115
1473817327468,5084,115
1473817327488,5422,115
1473817327508,5834,115
1473817327528,6352,115
1473817327548,6877,115
1473817327568,7199,115
1473817327588,7337,115
1473817327608,7324,115
1473817327628,7221,115
1473817327648,7139,115
1473817327668,7098,115
1473817327688,7100,115
1473817327708,7094,115
1473817327728,7111,115
1473817327748,7164,115
1473817327768,7299,115
1473817327788,7614,115
1473817327808,7856,115
1473817327828,7787,115
1473817327848,7492,115
1473817327868,7483,115
1473817327888,7661,115
1473817327908,7757,115
1473817327928,7772,115
1473817327948,7790,115
1473817327968,7874,115
1473817327988,7996,115
1473817328008,8098,116
1473817328028,7998,116
1473817328048,8036,116
1473817328068,8312,116
1473817328088,8260,116
1473817328108,7548,116
1473817328128,6629,116
1473817328148,5885,116
1473817328168,5202,116
1473817328188,4441,116
1473817328208,3789,116
1473817328228,3440,116
1473817328248,3259,116
1473817328268,3167,116
1473817328288,3196,116
1473817328308,3217,116
1473817328328,3184,116
1473817328348,3151,116
1473817328368,3215,116
1473817328388,3386,116
1473817328408,3469,116
1473817328428,3457,116
1473817328448,3604,116
1473817328468,3833,116
1473817328488,4031,116
1473817328508,4121,116
1473817328528,4266,116
1473817328548,4485,116
1473817328568,4683,116
1473817328588,4817,116
1473817328608,4715,116
1473817328628,4366,116
1473817328648,3987,116
1473817328668,3935,116
1473817328688,4130,116
1473817328708,4363,116
1473817328728,4535,116
1473817328748,4588,116
1473817328768,4424,116
1473817328788,4196,116
1473817328808,4142,116
1473817328828,4070,116
1473817328848,3891,116
1473817328868,3817,116
1473817328888,3873,116
1473817328908,3992,116
1473817328928,4069,116
1473817328948,4040,116
1473817328968,3905,116
1473817328988,3816,116
1473817329008,3756,115
1473817329028,3643,115
1473817329048,3494,115
1473817329068,3295,115
1473817329088,3109,115
1473817329108,3016,115
1473817329128,3009,115
1473817329148,2986,115
1473817329168,2968,115
1473817329188,2916,115
1473817329208,2829,115
1473817329228,2767,115
1473817329248,2704,115
1473817329268,2625,115
1473817329288,2534,115
1473817329308,2455,115
1473817329328,2387,115
1473817329348,2307,115
1473817329368,2227,115
1473817329388,2210,115
1473817329408,2227,115
1473817329428,2209,115
1473817329448,2194,115
1473817329468,2190,115
1473817329488,2158,115
1473817329508,2152,115
1473817329528,2170,115
1473817329548,2189,115
1473817329568,2200,115
1473817329588,2144,115
1473817329608,2064,115
1473817329628,2030,115
1473817329648,1975,115
1473817329668,1956,115
1473817329688,1943,115
1473817329708,1903,115
1473817329728,1935,115
1473817329748,1977,115
1473817329768,1976,115
1473817329788,1960,115
1473817329808,1944,115
1473817329828,1904,115
1473817329848,1919,115
1473817329868,1926,115
1473817329888,1941,115
1473817329908,1934,115
1473817329928,1930,115
1473817329948,1918,115
1473817329968,1897,115
1473817329988,1932,115
1473817330008,1908,115
1473817330028,1872,115
1473817330048,1872,115
1473817330068,1913,115
1473817330088,1956,115
1473817330108,1990,115
1473817330128,2044,115
1473817330148,2107,115
1473817330168,2140,115
1473817330188,2174,115
1473817330208,2235,115
1473817330228,2280,115
1473817330248,2294,115
1473817330268,2300,115
1473817330288,2279,115
1473817330308,2216,115
1473817330328,2174,115
1473817330348,2194,115
1473817330368,2172,115
1473817330388,2040,115
1473817330408,1944,115
1473817330428,1990,115
1473817330448,2121,115
1473817330468,2240,115
1473817330488,2297,115
1473817330508,2268,115
1473817330528,2256,115
1473817330548,2308,115
1473817330568,2359,115
1473817330588,2360,115
1473817330608,2252,115
1473817330628,2160,115
1473817330648,2183,115
1473817330668,2293,115
1473817330688,2369,115
1473817330708,2306,115
1473817330728,2318,115
1473817330748,2402,115
1473817330768,2422,115
1473817330788,2390,115
1473817330808,2400,115
1473817330828,2430,115
1473817330848,2375,115
1473817330868,2288,115
1473817330888,2256,115
1473817330908,2239,115
1473817330928,2303,115
1473817330948,2510,115
1473817330968,2636,115
1473817330988,2550,115
1473817331008,2504,114
1473817331028,2585,114
1473817331048,2634,114
1473817331068,2604,114
1473817331088,2587,114
1473817331108,2679,114
1473817331128,2737,114
1473817331148,2705,114
1473817331168,2678,114
1473817331188,2705,114
1473817331208,2728,114
1473817331228,2757,114
1473817331248,2770,114
1473817331268,2734,114
1473817331288,2687,114
1473817331308,2678,114
1473817331328,2724,114
1473817331348,2745,114
1473817331368,2762,114
1473817331388,2868,114
1473817331408,3034,114
1473817331428,3147,114
1473817331448,3261,114
1473817331468,3356,114
1473817331488,3422,114
1473817331508,3526,114
1473817331528,3640,114
